Desc,ID,Size,Price,Colors
Hic,S4162,0,32.66,"Yellow, Green, Blue"
Det,F4478,0,86.32,"Green, Black, Red"
Wum,N9551,1,56.75,0
Nef,G4058,2,16.85,"Green, Black, Blue, Yellow"
Kid,M4124,3,35.4,"Blue, Red, Green"
Moc,D6429,3,38.34,"Green, Black"
Teb,D6219,0,92.6,"Black, Blue"
Goh,N6858,3,24.81,"Blue, Red"
Nup,D3028,2,13.62,1
Dar,P5336,2,94.3,"Black, Yellow, Green, Red"
Sep,H5408,0,46.42,2
Keg,K1919,1,65.67,"Blue, Red, Green, Black"
Huc,S3840,2,25.32,"Yellow, Black, Green"
Luh,N5050,0,18.57,"Blue, Yellow, Red"
Vof,D5368,0,89.03,"Blue, Red, Yellow"
Rif,P8966,2,29.97,0
Pav,H1756,2,30.42,"Red, Yellow, Black"
Leg,F3006,1,10.15,"Red, Green, Black, Blue"
Nif,M2228,2,22.27,"Yellow, Blue"
Pec,B2448,1,47.69,1
Dut,F2709,1,53.46,"Yellow, Black"
Viv,N5044,2,32.05,Black
Bov,H4912,0,13.88,"Red, Green"
Fes,J2948,2,55.84,"Yellow, Red, Blue"
Len,N3316,1,84.06,2
Deh,F7804,2,39.13,"Black, Yellow, Green"
Juc,N9050,2,82.26,"Blue, Black, Red"
Fik,K4149,2,79.77,"Red, Black"
Hag,T4758,2,33.37,"Blue, Green"
Sav,J7355,0,98.53,0
